REDE;SUBREDE;TIPO;CÓDIGO;CLIENTE;BAIRRO;CIDADE;CLASSE ;LATITUDE;LONGITUDE;PRODUTO;VENDA;DEVOLUÇÃO;% DEV
REDE UNIFORCA;EXITO;SUBREDE;719;EXITO - PRQ ALBANO;PARQUE ALBANO;CAUCAIA;C;-3.7594355;-38.6163545;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 291,97;R$ 20,81;7,13%
REDE UNIFORCA;EXITO;SUBREDE;719;EXITO - PRQ ALBANO;PARQUE ALBANO;CAUCAIA;C;-3.7594355;-38.6163545;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 248,97;R$ 38,87;15,61%
REDE UNIFORCA;R CENTER;SUBREDE;762;R CENTER - PRQ SANTA ROSA;PARQUE SANTA ROSA;FORTALEZA;C;-3.8119541;-38.5972122;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 335,40;R$ 25,37;7,56%
REDE UNIFORCA;R CENTER;SUBREDE;762;R CENTER - PRQ SANTA ROSA;PARQUE SANTA ROSA;FORTALEZA;C;-3.8119541;-38.5972122;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 398,93;R$ 146,53;36,73%
REDE UNIFORCA;R CENTER;SUBREDE;762;R CENTER - PRQ SANTA ROSA;PARQUE SANTA ROSA;FORTALEZA;C;-3.8119541;-38.5972122;RICOTA VALE MILK 200G;R$ 111,94;R$ 26,50;23,67%
REDE UNIFORCA;VARIEDADES SUPERMERCADO;SUBREDE;763;VARIEDADES SUPERMERCADOS - LJ 01;NOVA METROPOLE;CAUCAIA;C;-3.7654576;-38.65276694;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 251,12;R$ 0,00;0,00%
REDE UNIFORCA;VARIEDADES SUPERMERCADO;SUBREDE;763;VARIEDADES SUPERMERCADOS - LJ 01;NOVA METROPOLE;CAUCAIA;C;-3.7654576;-38.65276694;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 242,31;R$ 0,00;0,00%
REDE UNIFORCA;VARIEDADES SUPERMERCADO;SUBREDE;763;VARIEDADES SUPERMERCADOS - LJ 01;NOVA METROPOLE;CAUCAIA;C;-3.7654576;-38.65276694;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 88,65;R$ 0,00;0,00%
REDE UNIFORCA;CANTINHO DAS FRUTAS;SUBREDE;830;CANTINHO DAS FRUTAS - JACARECANGA;JACARECANGA;FORTALEZA;C;-3.706271;-38.574687;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 78,69;R$ 0,00;0,00%
REDE UNIFORCA;CANTINHO DAS FRUTAS;SUBREDE;830;CANTINHO DAS FRUTAS - JACARECANGA;JACARECANGA;FORTALEZA;C;-3.706271;-38.574687;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 76,67;R$ 0,00;0,00%
REDE UNIFORCA;CANTINHO DAS FRUTAS;SUBREDE;830;CANTINHO DAS FRUTAS - JACARECANGA;JACARECANGA;FORTALEZA;C;-3.706271;-38.574687;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 77,40;R$ 0,00;0,00%
REDE UNIFORCA;CANTINHO DAS FRUTAS;SUBREDE;830;CANTINHO DAS FRUTAS - JACARECANGA;JACARECANGA;FORTALEZA;C;-3.706271;-38.574687;RICOTA VALE MILK 200G;R$ 53,65;R$ 0,00;0,00%
COMETA;-;REDE;838;COMETA (ANTONIO SALES);DIONISIO TORRES;FORTALEZA;A;-3.7440036;-38.5080673;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 122,21;R$ 0,00;0,00%
COMETA;-;REDE;838;COMETA (ANTONIO SALES);DIONISIO TORRES;FORTALEZA;A;-3.7440036;-38.5080673;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 78,17;R$ 0,00;0,00%
COMETA;-;REDE;838;COMETA (ANTONIO SALES);DIONISIO TORRES;FORTALEZA;A;-3.7440036;-38.5080673;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 166,14;R$ 0,00;0,00%
COMETA;-;REDE;838;COMETA (ANTONIO SALES);DIONISIO TORRES;FORTALEZA;A;-3.7440036;-38.5080673;RICOTA VALE MILK 200G;R$ 45,75;R$ 0,00;0,00%
REDE UNIFORCA;CANTINHO DAS FRUTAS;SUBREDE;840;CANTINHO DAS FRUTAS - PIRAMBU;PIRAMBU;FORTALEZA;C;-3.7128686;-38.5486857;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 117,39;R$ 0,00;0,00%
REDE UNIFORCA;CANTINHO DAS FRUTAS;SUBREDE;840;CANTINHO DAS FRUTAS - PIRAMBU;PIRAMBU;FORTALEZA;C;-3.7128686;-38.5486857;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 106,19;R$ 0,00;0,00%
REDE UNIFORCA;CANTINHO DAS FRUTAS;SUBREDE;840;CANTINHO DAS FRUTAS - PIRAMBU;PIRAMBU;FORTALEZA;C;-3.7128686;-38.5486857;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 148,50;R$ 0,00;0,00%
REDE UNIFORCA;CANTINHO DAS FRUTAS;SUBREDE;840;CANTINHO DAS FRUTAS - PIRAMBU;PIRAMBU;FORTALEZA;C;-3.7128686;-38.5486857;RICOTA VALE MILK 200G;R$ 109,62;R$ 0,00;0,00%
CENTERBOX;-;REDE;862;CENTERBOX - PRQ GENIBAU;PARQUE GENIBAU;FORTALEZA;C;-3.7566112;-38.6024185;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 0,00;R$ 9,13;100,00%
CENTERBOX;-;REDE;862;CENTERBOX - PRQ GENIBAU;PARQUE GENIBAU;FORTALEZA;C;-3.7566112;-38.6024185;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 110,92;R$ 0,00;0,00%
CENTERBOX;-;REDE;862;CENTERBOX - PRQ GENIBAU;PARQUE GENIBAU;FORTALEZA;C;-3.7566112;-38.6024185;RICOTA VALE MILK 200G;R$ 81,14;R$ 0,00;0,00%
COMETA;-;REDE;874;COMETA (JOAO CARLOS);SERRINHA;FORTALEZA;C;-3.782635;-38.5538401;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 193,88;R$ 0,00;0,00%
COMETA;-;REDE;874;COMETA (JOAO CARLOS);SERRINHA;FORTALEZA;C;-3.782635;-38.5538401;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 79,46;R$ 0,00;0,00%
COMETA;-;REDE;874;COMETA (JOAO CARLOS);SERRINHA;FORTALEZA;C;-3.782635;-38.5538401;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 127,17;R$ 0,00;0,00%
COMETA;-;REDE;874;COMETA (JOAO CARLOS);SERRINHA;FORTALEZA;C;-3.782635;-38.5538401;RICOTA VALE MILK 200G;R$ 117,75;R$ 0,00;0,00%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;884;SUPER PORTUGAL - CIDADE DOS FUNC;CIDADE DOS FUNCIONARIOS;FORTALEZA;B;-3.7899059;-38.495258;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 121,69;R$ 35,69;29,33%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;884;SUPER PORTUGAL - CIDADE DOS FUNC;CIDADE DOS FUNCIONARIOS;FORTALEZA;B;-3.7899059;-38.495258;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 202,95;R$ 0,00;0,00%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;884;SUPER PORTUGAL - CIDADE DOS FUNC;CIDADE DOS FUNCIONARIOS;FORTALEZA;B;-3.7899059;-38.495258;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 213,75;R$ 0,00;0,00%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;884;SUPER PORTUGAL - CIDADE DOS FUNC;CIDADE DOS FUNCIONARIOS;FORTALEZA;B;-3.7899059;-38.495258;RICOTA VALE MILK 200G;R$ 223,01;R$ 0,00;0,00%
REDE UNIFORCA;SANTA EDWIRGENS;SUBREDE;898;SANTA EDWIGES - JD GUANABARA - LJ 01;QUINTINO CUNHA;FORTALEZA;B;-3.7249377;-38.5890115;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 633,82;R$ 172,18;27,17%
REDE UNIFORCA;SANTA EDWIRGENS;SUBREDE;898;SANTA EDWIGES - JD GUANABARA - LJ 01;QUINTINO CUNHA;FORTALEZA;B;-3.7249377;-38.5890115;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 724,91;R$ 8,45;1,17%
REDE UNIFORCA;SANTA EDWIRGENS;SUBREDE;898;SANTA EDWIGES - JD GUANABARA - LJ 01;QUINTINO CUNHA;FORTALEZA;B;-3.7249377;-38.5890115;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 806,37;R$ 52,42;6,50%
REDE UNIFORCA;SANTA EDWIRGENS;SUBREDE;898;SANTA EDWIGES - JD GUANABARA - LJ 01;QUINTINO CUNHA;FORTALEZA;B;-3.7249377;-38.5890115;RICOTA VALE MILK 200G;R$ 174,02;R$ 0,00;0,00%
REDE INTEGRADA;SUPER PRECO BOM;SUBREDE;931;MERCADINHO RAIMUNDINHO;JUREMA;CAUCAIA;C;-3.766361;-38.6211393;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 38,70;R$ 10,75;27,78%
REDE INTEGRADA;SUPER PRECO BOM;SUBREDE;931;MERCADINHO RAIMUNDINHO;JUREMA;CAUCAIA;C;-3.766361;-38.6211393;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 36,08;R$ 0,00;0,00%
REDE INTEGRADA;SUPER PRECO BOM;SUBREDE;931;MERCADINHO RAIMUNDINHO;JUREMA;CAUCAIA;C;-3.766361;-38.6211393;RICOTA VALE MILK 200G;R$ 114,55;R$ 16,07;14,03%
COMETA;-;REDE;942;COMETA (ILDEFONSO ALBANO);JOAQUIM TAVORA;FORTALEZA;A;-3.7407932;-38.516113;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 114,47;R$ 8,34;7,29%
COMETA;-;REDE;942;COMETA (ILDEFONSO ALBANO);JOAQUIM TAVORA;FORTALEZA;A;-3.7407932;-38.516113;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 184,13;R$ 7,87;4,27%
COMETA;-;REDE;942;COMETA (ILDEFONSO ALBANO);JOAQUIM TAVORA;FORTALEZA;A;-3.7407932;-38.516113;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 125,73;R$ 0,00;0,00%
COMETA;-;REDE;942;COMETA (ILDEFONSO ALBANO);JOAQUIM TAVORA;FORTALEZA;A;-3.7407932;-38.516113;RICOTA VALE MILK 200G;R$ 70,38;R$ 0,00;0,00%
COMETA;-;REDE;950;COMETA (VILA VELHA);VILA VELHA;FORTALEZA;C;-3.7233183;-38.5963513;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 81,90;R$ 0,00;0,00%
COMETA;-;REDE;950;COMETA (VILA VELHA);VILA VELHA;FORTALEZA;C;-3.7233183;-38.5963513;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 111,77;R$ 8,69;7,78%
COMETA;-;REDE;950;COMETA (VILA VELHA);VILA VELHA;FORTALEZA;C;-3.7233183;-38.5963513;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 79,47;R$ 0,00;0,00%
COMETA;-;REDE;950;COMETA (VILA VELHA);VILA VELHA;FORTALEZA;C;-3.7233183;-38.5963513;RICOTA VALE MILK 200G;R$ 46,75;R$ 4,30;9,20%
COMETA;-;REDE;954;COMETA (JOAQUIM FELICIO);MESSEJANA;FORTALEZA;B;-3.8301305;-38.4875383;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 198,09;R$ 17,53;8,85%
COMETA;-;REDE;954;COMETA (JOAQUIM FELICIO);MESSEJANA;FORTALEZA;B;-3.8301305;-38.4875383;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 114,99;R$ 53,89;46,86%
COMETA;-;REDE;954;COMETA (JOAQUIM FELICIO);MESSEJANA;FORTALEZA;B;-3.8301305;-38.4875383;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 126,72;R$ 0,00;0,00%
COMETA;-;REDE;954;COMETA (JOAQUIM FELICIO);MESSEJANA;FORTALEZA;B;-3.8301305;-38.4875383;RICOTA VALE MILK 200G;R$ 46,50;R$ 0,00;0,00%
COMETA;-;REDE;958;COMETA (PINTO MADEIRA);ALDEOTA;FORTALEZA;A;-3.7338116;-38.5136501;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 268,48;R$ 0,00;0,00%
COMETA;-;REDE;958;COMETA (PINTO MADEIRA);ALDEOTA;FORTALEZA;A;-3.7338116;-38.5136501;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 192,89;R$ 0,00;0,00%
COMETA;-;REDE;958;COMETA (PINTO MADEIRA);ALDEOTA;FORTALEZA;A;-3.7338116;-38.5136501;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 287,46;R$ 0,00;0,00%
COMETA;-;REDE;958;COMETA (PINTO MADEIRA);ALDEOTA;FORTALEZA;A;-3.7338116;-38.5136501;RICOTA VALE MILK 200G;R$ 93,88;R$ 0,00;0,00%
COMETA;-;REDE;967;COMETA (J DA PENHA);CENTRO;FORTALEZA;B;-3.7374817;-38.5204755;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 244,50;R$ 18,39;7,52%
COMETA;-;REDE;967;COMETA (J DA PENHA);CENTRO;FORTALEZA;B;-3.7374817;-38.5204755;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 77,34;R$ 32,81;42,42%
COMETA;-;REDE;967;COMETA (J DA PENHA);CENTRO;FORTALEZA;B;-3.7374817;-38.5204755;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 196,29;R$ 0,00;0,00%
COMETA;-;REDE;967;COMETA (J DA PENHA);CENTRO;FORTALEZA;B;-3.7374817;-38.5204755;RICOTA VALE MILK 200G;R$ 70,13;R$ 0,00;0,00%
CENTERBOX;-;REDE;972;CENTERBOX - CONCEITO;COCO;FORTALEZA;A;-3.7424091;-38.4867581;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 421,19;R$ 336,77;79,96%
CENTERBOX;-;REDE;972;CENTERBOX - CONCEITO;COCO;FORTALEZA;A;-3.7424091;-38.4867581;RICOTA VALE MILK 200G;R$ 334,72;R$ 69,67;20,81%
COMETA;-;REDE;976;COMETA (HENRIQUE JORGE);HENRIQUE JORGE;FORTALEZA;C;-3.7598094;-38.5861946;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 116,19;R$ 0,00;0,00%
COMETA;-;REDE;976;COMETA (HENRIQUE JORGE);HENRIQUE JORGE;FORTALEZA;C;-3.7598094;-38.5861946;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 151,56;R$ 0,00;0,00%
COMETA;-;REDE;976;COMETA (HENRIQUE JORGE);HENRIQUE JORGE;FORTALEZA;C;-3.7598094;-38.5861946;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 116,37;R$ 18,72;16,09%
COMETA;-;REDE;976;COMETA (HENRIQUE JORGE);HENRIQUE JORGE;FORTALEZA;C;-3.7598094;-38.5861946;RICOTA VALE MILK 200G;R$ 46,50;R$ 0,00;0,00%
COMETA;-;REDE;989;COMETA (CASTELO BRANCO);BARRA DO CEARA;FORTALEZA;C;-3.7049139;-38.5780082;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 403,49;R$ 0,00;0,00%
COMETA;-;REDE;989;COMETA (CASTELO BRANCO);BARRA DO CEARA;FORTALEZA;C;-3.7049139;-38.5780082;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 77,34;R$ 0,00;0,00%
COMETA;-;REDE;989;COMETA (CASTELO BRANCO);BARRA DO CEARA;FORTALEZA;C;-3.7049139;-38.5780082;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 84,42;R$ 0,00;0,00%
COMETA;-;REDE;1004;COMETA (WALDIR DIOGO);NOVO MONDUBIM;FORTALEZA;C;-3.8009513;-38.586656;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 232,47;R$ 0,00;0,00%
COMETA;-;REDE;1004;COMETA (WALDIR DIOGO);NOVO MONDUBIM;FORTALEZA;C;-3.8009513;-38.586656;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 118,34;R$ 0,00;0,00%
COMETA;-;REDE;1004;COMETA (WALDIR DIOGO);NOVO MONDUBIM;FORTALEZA;C;-3.8009513;-38.586656;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 205,74;R$ 0,00;0,00%
COMETA;-;REDE;1004;COMETA (WALDIR DIOGO);NOVO MONDUBIM;FORTALEZA;C;-3.8009513;-38.586656;RICOTA VALE MILK 200G;R$ 116,25;R$ 0,00;0,00%
COMETA;-;REDE;1006;COMETA (FREI CIRILO);MESSEJANA;FORTALEZA;B;-3.8194034;-38.4963739;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 111,98;R$ 96,16;85,87%
COMETA;-;REDE;1006;COMETA (FREI CIRILO);MESSEJANA;FORTALEZA;B;-3.8194034;-38.4963739;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 110,97;R$ 8,70;7,84%
COMETA;-;REDE;1006;COMETA (FREI CIRILO);MESSEJANA;FORTALEZA;B;-3.8194034;-38.4963739;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 120,78;R$ 0,00;0,00%
COMETA;-;REDE;1006;COMETA (FREI CIRILO);MESSEJANA;FORTALEZA;B;-3.8194034;-38.4963739;RICOTA VALE MILK 200G;R$ 116,50;R$ 33,05;28,37%
COMETA;-;REDE;1011;COMETA (MARACANAU);BOA VISTA;MARACANAU;C;-3.8819005;-38.62523;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 40,31;R$ 0,00;0,00%
COMETA;-;REDE;1011;COMETA (MARACANAU);BOA VISTA;MARACANAU;C;-3.8819005;-38.62523;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 76,52;R$ 8,53;11,15%
COMETA;-;REDE;1011;COMETA (MARACANAU);BOA VISTA;MARACANAU;C;-3.8819005;-38.62523;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 125,82;R$ 0,00;0,00%
COMETA;-;REDE;1011;COMETA (MARACANAU);BOA VISTA;MARACANAU;C;-3.8819005;-38.62523;RICOTA VALE MILK 200G;R$ 92,63;R$ 0,00;0,00%
COMETA;-;REDE;1025;COMETA (JULIO LIMA);CIDADE DOS FUNCIONARIOS;FORTALEZA;B;-3.7960364;-38.4990562;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 236,34;R$ 0,00;0,00%
COMETA;-;REDE;1025;COMETA (JULIO LIMA);CIDADE DOS FUNCIONARIOS;FORTALEZA;B;-3.7960364;-38.4990562;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 74,06;R$ 0,00;0,00%
COMETA;-;REDE;1025;COMETA (JULIO LIMA);CIDADE DOS FUNCIONARIOS;FORTALEZA;B;-3.7960364;-38.4990562;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 245,70;R$ 0,00;0,00%
COMETA;-;REDE;1025;COMETA (JULIO LIMA);CIDADE DOS FUNCIONARIOS;FORTALEZA;B;-3.7960364;-38.4990562;RICOTA VALE MILK 200G;R$ 70,25;R$ 0,00;0,00%
COMETA;-;REDE;1034;COMETA (JOSE WALTER 01);PREFEITO JOSE WALTER;FORTALEZA;C;-3.83055313;-38.56049735;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 192,16;R$ 8,08;4,20%
COMETA;-;REDE;1034;COMETA (JOSE WALTER 01);PREFEITO JOSE WALTER;FORTALEZA;C;-3.83055313;-38.56049735;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 36,42;R$ 17,63;48,41%
COMETA;-;REDE;1034;COMETA (JOSE WALTER 01);PREFEITO JOSE WALTER;FORTALEZA;C;-3.83055313;-38.56049735;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 122,22;R$ 11,79;9,65%
COMETA;-;REDE;1034;COMETA (JOSE WALTER 01);PREFEITO JOSE WALTER;FORTALEZA;C;-3.83055313;-38.56049735;RICOTA VALE MILK 200G;R$ 92,63;R$ 3,80;4,10%
COMETA;-;REDE;1043;COMETA (SERRINHA);SERRINHA;FORTALEZA;C;-3.787502;-38.547114;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 231,18;R$ 0,00;0,00%
COMETA;-;REDE;1043;COMETA (SERRINHA);SERRINHA;FORTALEZA;C;-3.787502;-38.547114;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 36,42;R$ 0,00;0,00%
COMETA;-;REDE;1043;COMETA (SERRINHA);SERRINHA;FORTALEZA;C;-3.787502;-38.547114;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 206,55;R$ 0,00;0,00%
COMETA;-;REDE;1043;COMETA (SERRINHA);SERRINHA;FORTALEZA;C;-3.787502;-38.547114;RICOTA VALE MILK 200G;R$ 94,63;R$ 0,00;0,00%
COMETA;-;REDE;1049;COMETA (OLIVEIRA PAIVA);PARQUE MANIBURA;FORTALEZA;B;-3.7955137;-38.4901664;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 40,31;R$ 0,00;0,00%
COMETA;-;REDE;1049;COMETA (OLIVEIRA PAIVA);PARQUE MANIBURA;FORTALEZA;B;-3.7955137;-38.4901664;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 74,47;R$ 0,00;0,00%
COMETA;-;REDE;1049;COMETA (OLIVEIRA PAIVA);PARQUE MANIBURA;FORTALEZA;B;-3.7955137;-38.4901664;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 39,96;R$ 0,00;0,00%
COMETA;-;REDE;1049;COMETA (OLIVEIRA PAIVA);PARQUE MANIBURA;FORTALEZA;B;-3.7955137;-38.4901664;RICOTA VALE MILK 200G;R$ 46,75;R$ 0,00;0,00%
COMETA;-;REDE;1058;COMETA (VIRGILIO TAVORA);MEIRELES;FORTALEZA;A;-3.7344387;-38.4922603;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 81,90;R$ 0,00;0,00%
COMETA;-;REDE;1058;COMETA (VIRGILIO TAVORA);MEIRELES;FORTALEZA;A;-3.7344387;-38.4922603;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 192,81;R$ 0,00;0,00%
COMETA;-;REDE;1058;COMETA (VIRGILIO TAVORA);MEIRELES;FORTALEZA;A;-3.7344387;-38.4922603;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 247,41;R$ 0,00;0,00%
COMETA;-;REDE;1058;COMETA (VIRGILIO TAVORA);MEIRELES;FORTALEZA;A;-3.7344387;-38.4922603;RICOTA VALE MILK 200G;R$ 141,50;R$ 0,00;0,00%
REDE EXATA;-;VAREJO;1226;MERCANTIL NOVO BOX LTDA;CRISTO REDENTOR;FORTALEZA;C;-3.7123457;-38.5589927;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 118,06;R$ 0,00;0,00%
REDE EXATA;-;VAREJO;1226;MERCANTIL NOVO BOX LTDA;CRISTO REDENTOR;FORTALEZA;C;-3.7123457;-38.5589927;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 36,22;R$ 0,00;0,00%
REDE EXATA;-;VAREJO;1226;MERCANTIL NOVO BOX LTDA;CRISTO REDENTOR;FORTALEZA;C;-3.7123457;-38.5589927;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 123,98;R$ 0,00;0,00%
REDE EXATA;-;VAREJO;1226;MERCANTIL NOVO BOX LTDA;CRISTO REDENTOR;FORTALEZA;C;-3.7123457;-38.5589927;RICOTA VALE MILK 200G;R$ 159,79;R$ 0,00;0,00%
REDE UNIFORCA;VITORIA REAL;SUBREDE;1230;VITORIA REAL;NOVA METROPOLE;CAUCAIA;C;-3.7716837;-38.6552574;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 162,54;R$ 18,49;11,38%
REDE UNIFORCA;VITORIA REAL;SUBREDE;1230;VITORIA REAL;NOVA METROPOLE;CAUCAIA;C;-3.7716837;-38.6552574;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 234,11;R$ 24,36;10,41%
REDE UNIFORCA;VITORIA REAL;SUBREDE;1230;VITORIA REAL;NOVA METROPOLE;CAUCAIA;C;-3.7716837;-38.6552574;RICOTA VALE MILK 200G;R$ 170,23;R$ 0,00;0,00%
REDE POUPE MAX;SUPERMERCADO MAR & SOL;SUBREDE;1450;SUPERMERCADO MAR & SOL;ICARAI;CAUCAIA;C;-3.67349324;-38.66970537;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 0,00;R$ 26,66;100,00%
REDE POUPE MAX;SUPERMERCADO MAR & SOL;SUBREDE;1450;SUPERMERCADO MAR & SOL;ICARAI;CAUCAIA;C;-3.67349324;-38.66970537;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 39,00;R$ 8,77;22,49%
